name,rate
AGRICULTURE,0.0025063548880476
AIRPORTS,0.0002059583662745
APARTMENTS GARDEN STYLE,0.0017559270970835
APARTMENTS HIGH RISE,0.0013770165129760
"ARENAS, STADIUMS, CONVENTION AND CONFERENCE CENTRES",0.0002218013175263
ASSISTED LIVING,0.0013770165129760
BANKS (MORTGAGE PORTFOLIOS),0.0001386258234540
BRIDGES,0.0002772516469079
CANNING,0.0006210436890737
CASINOS,0.0006654039525790
CHEMICALS - NON PETRO,0.0031329436100595
CHEMICALS - PETRO,0.0039161795125744
COMMUNICATIONS AND TELECOMS - EX T&D,0.0005221572683433
COMMUNICATIONS AND TELECOMS - T&D,0.0005221572683433
CONDOMINIUMS,0.0001386258234540
CONSTRUCTION,0.0058306544442212
DEALERS OPEN LOT,0.0018206191480287
EQUIPMENT / MACHINERY / CPE,0.0049709371946278
FOOD - ABATTOIRS,0.0029111422925332
FOOD - CHICKEN FARMS,0.0029111422925332
FOOD - DAIRY,0.0026909823047566
FOOD - FISHERIES,0.0026911893193196
FOOD - OTHER,0.0023095062187430
FOOD - PROCESSING (NON-HEAT),0.0023095062187430
FOOD - PROCESSING (HEAT),0.0029111422925332
FOOD - SUGAR,0.0029111422925332
GAS PROCESSING & STORAGE,0.0050127097760953
"GRAIN (MILLS, TERMINALS, ELEVATORS, SILOS)",0.0041402912604917
HEALTHCARE - HOSPITALS,0.0001386258234540
HIGH NET WORTH HOUSEHOLD,0.0017559270970835
HOTELS - BEACHFRONT,0.0008890536144181
HOTELS - OTHER,0.0008890536144181
MANUFACTURING - AUTOMOTIVE,0.0004699415415089
MANUFACTURING - CEMENT & AGGREGATE,0.0008500720328628
MANUFACTURING - DRINKS,0.0008539350724764
MANUFACTURING - FOAM & MATTRESS,0.0062136714932847
MANUFACTURING - FURNITURE & UPHOLSTERY,0.0031329436100595
MANUFACTURING - GLASS,0.0004101023185568
MANUFACTURING - HEAVY,0.0006892475942131
MANUFACTURING - LIGHT / PRECISION / ASSEMBLY,0.0005513980753705
MANUFACTURING - PAINT,0.0014703948676546
MANUFACTURING - PLASTICS,0.0017116315256292
MANUFACTURING - PYROTECHNICS / EXPLOSIVES / AMMUNITION,0.0014703948676546
MANUFACTURING - SEMICONDUCTORS,0.0006126645281894
MANUFACTURING - TEXTILES,0.0029407897353092
MANUFACTURING - TOBACCO,0.0010223839314161
MANUFACTURING - TYRE,0.0007519064664143
METALS - ALUMINIUM MANUFACTURING,0.0014933697874617
METALS - BLAST FURNACE,0.0021933390109181
METALS - EX BLAST FURNACE,0.0014933697874617
MINING - ABOVE GROUND (HARD ROCK),0.0019252354361286
MINING - ABOVE GROUND (SOFT ROCK),0.0034649062486240
MINING - BELOW GROUND (HARD ROCK),0.0032333087062402
MINING - BELOW GROUND (SOFT ROCK),0.0065449756591878
MINING - SALT ABOVE GROUND,0.0011515185068242
MINING - SALT BELOW GROUND,0.0038556462363329
MUNICIPALITIES,0.0003119081027714
OFFICES,0.0001524884057994
PHARMACEUTICAL,0.0010443145366865
PIPELINE,0.0005221572683433
PORT AUTHORITIES,0.0011001345349306
POWER - DISTRIBUTION ONLY,0.0012427342986570
POWER - HYDROS,0.0006265887220119
POWER - NON-HYDRO,0.0012427342986570
PRISONS,0.0005545032938158
"PUBS, CLUBS & NIGHTCLUBS",0.0013862582345396
PULP AND PAPER,0.0016709032586984
RAIL - FREIGHT,0.0013680520430593
RAIL - INFRASTRUCTURE,0.0003101614173959
RAIL - PASSENGER,0.0013680520430593
RAIL - TRACK,0.0003132943610060
RELIGIOUS,0.0007735320948731
RESTAURANTS,0.0018021357049015
RETAIL,0.0004332056982936
ROADS,0.0002772516469079
SAWMILLS,0.0034951902149727
SCHOOLS,0.0005500672674653
SINGLE FAMILY HOMES,0.0013770165129760
THEME PARKS,0.0002218013175263
UNIVERSITIES,0.0004125504505990
WAREHOUSING - COLD STORAGE & EPS,0.0009320507239927
WAREHOUSING - HIGH HAZARD,0.0009320507239927
WAREHOUSING - MEDIUM HAZARD,0.0006990380429945
WAREHOUSING - LOW HAZARD,0.0004699415415089
WASTE PROCESSING,0.0049709371946278
WATER TREATMENT,0.0003132943610060
